Date,Open,High,Low,Close,Adj Close,Volume
2024-06-07,135.690002,141.000000,135.289993,139.800003,139.800003,2835900
2024-06-10,138.809998,141.179993,138.320007,140.899994,140.899994,2544200
2024-06-11,140.160004,140.399994,134.550003,135.139999,135.139999,2436100
2024-06-12,137.279999,138.990005,136.169998,137.100006,137.100006,2240500
2024-06-13,136.309998,136.679993,134.289993,135.089996,135.089996,1895900
2024-06-14,134.029999,135.250000,133.300003,133.699997,133.699997,2613000
2024-06-17,133.789993,137.350006,133.500000,137.100006,137.100006,2054500
2024-06-18,137.009995,138.210007,136.770004,137.339996,137.339996,1399600
2024-06-20,137.820007,138.149994,135.839996,138.130005,138.130005,1811800
2024-06-21,137.000000,137.770004,135.210007,136.770004,136.770004,3152700
2024-06-24,137.039993,139.110001,135.630005,137.679993,137.679993,1749000
2024-06-25,137.149994,137.649994,134.759995,134.860001,134.860001,1744100
2024-06-26,133.710007,136.940002,133.080002,136.770004,136.770004,2834100
2024-06-27,136.029999,136.240005,132.919998,134.029999,134.029999,3535000
2024-06-28,135.389999,138.789993,134.660004,138.449997,138.449997,4959900
2024-07-01,138.800003,141.800003,138.449997,139.699997,139.699997,3081200
2024-07-02,139.639999,140.520004,138.729996,140.479996,140.479996,2020000
2024-07-03,140.270004,140.669998,138.000000,138.419998,138.419998,1805400
2024-07-05,138.380005,138.740005,135.880005,136.000000,136.000000,2622600
2024-07-08,137.220001,138.059998,135.500000,135.809998,135.809998,2298600
2024-07-09,135.809998,138.929993,135.360001,136.990005,136.990005,2575900
2024-07-10,136.190002,137.000000,135.410004,136.610001,136.610001,1665900
2024-07-11,137.050003,139.070007,136.559998,138.990005,138.990005,1803800
2024-07-12,139.119995,139.470001,137.500000,138.410004,138.410004,1680200
2024-07-15,140.820007,144.639999,140.210007,144.610001,144.610001,3018200
2024-07-16,144.639999,149.589996,144.190002,149.559998,149.559998,3796900
2024-07-17,148.869995,151.339996,147.440002,149.470001,149.470001,2931500
2024-07-18,151.770004,153.350006,147.690002,148.720001,148.720001,3936900
2024-07-19,148.919998,149.119995,146.300003,147.270004,147.270004,2564700
2024-07-22,146.210007,147.320007,144.500000,145.110001,145.110001,3257100
2024-07-23,145.259995,147.460007,144.839996,145.500000,145.500000,3686300
2024-07-24,143.669998,148.929993,140.500000,146.410004,146.410004,4567800
2024-07-25,146.169998,150.050003,145.490005,148.089996,148.089996,2666000
2024-07-26,149.279999,150.100006,148.410004,149.360001,149.360001,1795100
2024-07-29,149.520004,149.860001,147.380005,149.059998,149.059998,1779200
2024-07-30,150.740005,152.649994,149.320007,152.250000,152.250000,2387400
2024-07-31,151.960007,152.740005,151.005005,151.399994,151.399994,1494206
